Board Name,School Number,School Name,School Language,Street,City,Postal Code,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Acheivement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education
Bluewater DSB,950262,Walkerton District Community School,English,1320 Yonge,Walkerton,N0G2V0,365,44.11732,-81.14765,SP,SP,37.5,SP,0.6,-9,0.3,0.8,11,14.19,SP
Brant Haldimand Norfolk CDSB,688088,Assumption College School School,English,257 Shellard,Brantford,N3T5L5,1379,43.12153,-80.29744,1.2,0.8,19.6,2,0.85,1,0.48,0.79,-5,17.18,6.84
Brant Haldimand Norfolk CDSB,720232,Holy Trinity Catholic High School,English,128 Evergreen Hill,Simcoe,N3Y4N5,922,42.82441,-80.31147,1.6,SP,15.2,SP,0.86,-3,0.5,0.88,1,15.81,2.07
Brant Haldimand Norfolk CDSB,751898,St John's College,English,80 Paris,Brantford,N3R1H9,1091,43.16038,-80.28852,2.3,1.8,17,1.9,0.73,-12,0.56,0.83,-3,15.03,8.9
Brant Haldimand Norfolk CDSB,706139,St. Mary Catholic Learning Centre,English,455 Colborne Street,Brantford,N3S3N8,NA,43.138887746,-80.25100635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bruce-Grey CDSB,759430,Sacred Heart High School,English,450 Robinson,Walkerton,N0G2V0,633,44.12717,-81.14361,SP,SP,28.4,SP,0.77,-1,0.47,0.83,-1,13.82,1.68
Bruce-Grey CDSB,776599,St Mary's High School,English,555 th,Owen Sound,N4K1X2,789,44.57386,-80.93409,1.4,SP,26.5,1.4,0.81,7,0.32,0.68,-10,19.11,3.32
CDSB of Eastern Ontario,745698,Hanley Hall Catholic High School,English,30 McGill,Smiths Falls,K7A2J4,NA,44.90144402,-76.0173462,NA,NA,NA,NA,NA,NA,NA,N/R,NA,NA,NA
CDSB of Eastern Ontario,715190,Holy Trinity Catholic Secondary School,English,18044 Tyotown,Cornwall,K6H5R5,523,45.0476,-74.6726,8,SP,29.6,SP,0.92,1,0.46,0.71,-11,20.81,2.31
CDSB of Eastern Ontario,736457,Notre Dame Catholic High School,English,157 McKenzie,Carleton Place,K7C4P2,528,45.14297,-76.15832,SP,SP,33.1,SP,0.77,-8,0.33,0.84,1,13.01,12.56
CDSB of Eastern Ontario,751502,St Francis Xavier Catholic High School,English,1235 Russell,Hammond,K0A2A0,305,45.421,-75.2134,8.9,SP,36.7,NA,0.82,11,0.58,0.91,13,12.55,8.38
CDSB of Eastern Ontario,804800,St John Catholic High School,English,2066 Scotch Line,Perth Road,K7H3C5,524,44.8861,-76.2523,SP,SP,33.6,NA,0.83,4,0.52,0.88,-2,17.49,7.78
CDSB of Eastern Ontario,806277,St Joseph's Secondary School,English,1500 Cumberland,Cornwall,K6J5V9,757,45.03634,-74.75056,6.2,SP,33.3,SP,0.83,-5,0.42,0.77,-8,19.64,2.99
CDSB of Eastern Ontario,824593,St Mary's High School,English,40 Central,Brockville,K6V4N5,520,44.59973,-75.6959,SP,SP,30.6,SP,0.8,-5,0.44,0.91,-1,18.06,SP
CDSB of Eastern Ontario,726176,St Matthew Catholic Secondary School,English,822 Marlborough,Cornwall,K6H4B4,111,45.03089,-74.72428,NA,NA,100,NA,N/R,NA,N/R,0.19,6,28.82,SP
CDSB of Eastern Ontario,832480,St Michael High School,English,2755 Highway,Kemptville,K0G1J0,479,45.0231,-75.6508,2.9,SP,26.9,SP,0.93,2,0.69,1,3,11.43,7.39
CDSB of Eastern Ontario,803065,St. Luke Catholic High School,English,4 Ross,Smiths Falls,K7A4L5,124,44.88672,-76.0209,SP,NA,100,NA,N/D,NA,0.18,0.31,9,18.65,SP
CDSB of Eastern Ontario,733067,St. Thomas Aquinas Catholic High School,English,1211 South Russell,Russell,K4R1E5,385,45.2514,-75.3531,SP,SP,30.9,SP,0.96,3,0.8,0.85,-5,8.64,15.18
CÉP de l'Est de l'Ontario,900516,Centre d'éducation et de formation de,French,750 Principale,Casselman,K0A1M0,151,45.31442,-75.08786,83.4,SP,SP,NA,NA,NA,NA,NA,NA,22.03,SP
CÉP de l'Est de l'Ontario,922609,École secondaire des adultes Le Carrefour,French,2445 St Laurent,Ottawa,K1G6C3,495,45.38126,-75.62641,99.2,32.9,5.7,SP,NA,NA,NA,A/D,NA,37.85,9.65
CÉP de l'Est de l'Ontario,898582,École secondaire L'Académie de la Seigneurie,French,731 des Pommiers,Casselman,K0A1M0,72,45.30454,-75.09027,88.9,NA,29.2,NA,S. R.,NA,S. R.,1,0,SP,SP
CÉP de l'Est de l'Ontario,907430,École secondaire publique De La Salle,French,501 ancienne St Patrick,Ottawa,K1N8R3,716,45.43495,-75.68489,79.3,8.2,18.7,SP,0.98,1,0.7,0.98,-1,28.33,13.06
CÉP de l'Est de l'Ontario,912662,École secondaire publique Gisèle-Lalonde,French,500 Millennium,Orléans,K4A4X3,637,45.46873,-75.44532,88.1,2.4,12.2,SP,0.93,2,0.82,0.96,6,14.56,24.86
CÉP de l'Est de l'Ontario,920550,École secondaire publique L'Alternative,French,2445 St Laurent,Ottawa,K1G6C3,103,45.38116,-75.62634,89.3,SP,27.2,NA,NA,NA,NA,S. R.,NA,33.44,SP
CÉP de l'Est de l'Ontario,949540,École secondaire publique Le Sommet,French,894 Cécile,Hawkesbury,K6A3R5,256,45.60333,-74.59871,89.8,SP,21.9,NA,0.98,-2,0.53,1,0,19.91,SP
CÉP de l'Est de l'Ontario,907480,École secondaire publique L'Équinoxe,French,399 Isabella,PEMBROKE,K8A5T4,41,45.82461,-77.12168,58.5,SP,29.3,NA,S. R.,NA,S. R.,0.8,-2,SP,SP
CÉP de l'Est de l'Ontario,907464,École secondaire publique L'Héritage,French,1111 Montréal,Cornwall,K6H1E1,113,45.01868,-74.70019,57.5,NA,29.2,NA,1,21,0.55,0.86,-10,20.81,SP
CÉP de l'Est de l'Ontario,904945,École secondaire publique Louis-Riel,French,1655 Bearbrook,Gloucester,K1B4N3,481,45.4411,-75.5716,81.7,4.2,12.7,NA,0.93,8,0.61,0.94,6,25.46,15.17
CÉP de l'Est de l'Ontario,901539,École secondaire publique Marc-Garneau,French,30 Fullerton,Trenton,K8V1E4,57,44.1137,-77.55458,57.9,NA,22.8,NA,0.92,25,S. R.,1,8,SP,SP
CÉP de l'Est de l'Ontario,930144,École secondaire publique Maurice-Lapointe,French,17 BRIDGESTONE,KANATA,K2M0E9,105,45.27875,-75.85871,82.9,SP,14.3,NA,0.91,-6,S. R.,1,18,12.16,32.79
CÉP de l'Est de l'Ontario,907472,École secondaire publique Mille-Iles,French,72 Gilmour,Kingston,K7M9G6,39,44.24236,-76.52589,66.7,NA,SP,NA,0.64,NA,S. R.,1,20,SP,SP
CÉP de l'Est de l'Ontario,907421,École secondaire publique Omer-Deslauriers,French,159 Chesterton,Ottawa,K2E7E6,355,45.35007,-75.71658,91.5,7.9,11.5,NA,0.85,-7,0.23,0.86,-1,36.34,17.07
Conseil scolaire catholique Providence,860919,Centre de formation pour adultes,French,633 Ouellette,Windsor,N9A4J4,19,42.31370502,-83.03654789,94.7,SP,NA,NA,NA,NA,NA,S. R.,NA,58.32,SP
Conseil scolaire catholique Providence,704717,École secondaire catholique E.J.Lajeunesse,French,600 E C Row ouest,Windsor,N9E1A5,416,42.29009,-82.94433,40.4,5.5,25.5,SP,0.82,3,0.32,0.95,11,24.24,5.92
Conseil scolaire catholique Providence,707015,École secondaire catholique École secondaire de Pain Court,French,14 Notre Dame,Pain Court,N0P1Z0,242,42.39176,-82.29407,26,NA,35.1,NA,0.71,-18,0.42,0.83,-10,17.47,SP
Conseil scolaire catholique Providence,708500,École secondaire catholique École secondaire Monseigneur-Bruyère,French,920 Huron,London,N5Y4K4,204,43.01551,-81.23259,59.8,SP,31.4,NA,0.93,24,S. R.,0.92,7,23.51,11.5
Conseil scolaire catholique Providence,705438,École secondaire catholique École secondaire Notre-Dame,French,700 Bristol,Woodstock,N4T0E4,59,43.1493,-80.7151,28.8,NA,28.8,NA,0.39,NA,S. R.,0.75,-13,SP,SP
Conseil scolaire catholique Providence,705101,École secondaire catholique École secondaire Saint-Dominique-Savio,French,800 e est,Owen Sound,N4K6Z5,25,44.56422,-80.92513,40,NA,SP,NA,S. R.,NA,S. R.,S. R.,NA,SP,SP
Conseil scolaire catholique Providence,791601,École secondaire catholique École secondaire Saint-François-Xavier,French,901 Les Rapides,Sarnia,N7S6K2,101,42.99336,-82.35367,55.4,NA,29.7,SP,0.92,33,S. R.,0.82,-9,16.97,SP
Conseil scolaire catholique Providence,728772,École secondaire catholique l'Essor,French,13605 St Gregory,Tecumseh,N8N3E4,629,42.31441,-82.86303,29.7,SP,22.1,SP,0.79,0,0.32,0.9,0,14.43,9.45
CS catholique MonAvenir,683922,ÉSAC Mère-Teresa,French,50 Lisgar,Hamilton,L8T4Y4,182,43.2136,-79.82803,72.5,SP,26.4,SP,0.77,-23,0.42,0.89,2,21.15,7.31
CS catholique MonAvenir,782017,ÉSC Jean-Vanier,French,620 River,Welland,L3B5N6,488,43.0106,-79.23346,83.8,SP,25,NA,0.83,4,0.31,0.93,2,18.84,4.97
CS catholique MonAvenir,733458,ÉSC Monseigneur-de-Charbonnel,French,110 Drewry,Toronto,M2M1C8,257,43.78625,-79.42342,91.4,12.1,22.2,SP,0.96,-1,0.24,0.88,7,30.91,13.33
CS catholique MonAvenir,780213,ÉSC Monseigneur-Jamot,French,2350 Woodglade,Peterborough,K9K2J6,NA,44.29227,-78.36607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS catholique MonAvenir,740390,ÉSC Nouvelle-Alliance,French,249 Anne nord,Barrie,L4N0B5,270,44.3958,-79.7159,57,NA,25.2,SP,0.8,4,0.58,0.9,0,18.03,8.07
CS catholique MonAvenir,854087,ÉSC Pape-François,French,276 Sunset,Stouffville,L4A3R1,NA,43.96779553,-79.25450513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS catholique MonAvenir,846041,ÉSC Père-Philippe-Lamarche,French,2850 Eglinton E,Toronto,M1J2C8,NA,43.73929179,-79.24084121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CS catholique MonAvenir,751073,ÉSC Père-René-de-Galinée,French,450 Maple Grove,Cambridge,N3H4R7,316,43.4243,-80.3817,60.1,SP,18,NA,0.84,5,S. R.,0.97,-1,16.07,11.52
CS catholique MonAvenir,705357,ÉSC Renaissance,French,700 Bloomington ouest,Aurora,L4G0E1,416,43.9583,-79.4838,66.8,SP,22.6,3.6,0.97,-1,0.45,0.94,2,14.99,27.46
CS catholique MonAvenir,706477,ÉSC Saint-Charles-Garnier,French,4101 Baldwin sud,Whitby,L1R2W6,346,43.9178,-78.9573,82.7,SP,16.8,SP,0.88,19,0.71,0.94,4,15.24,11.44
CS catholique MonAvenir,790001,ÉSC Sainte-Famille,French,1780 Meadowvale,Mississauga,L5N7K8,513,43.61473,-79.74779,82.7,6.4,15,SP,0.83,-5,0.43,0.95,-1,18.68,21.14
CS catholique MonAvenir,865368,ÉSC Sainte-Trinité,French,2600 Grand Oak Trail,Oakville,L6M0R4,153,43.43788,-79.77344,86.9,SP,20.3,SP,0.93,6,0.58,0.95,-1,16.96,32.91
CS catholique MonAvenir,691950,ÉSC Saint-Frère-André,French,330 LANSDOWNE,TORONTO,M6H3Y1,105,43.65251,-79.44064,81.9,10.5,17.1,SP,0.93,10,S. R.,0.95,10,31.16,12.45
CS public du Grand Nord de l'Ontario,955622,École Cap sur l'Avenir,French,128 Larch,Sudbury,P3E5J8,65,46.49173,-80.99216,78.5,NA,32.3,NA,S. R.,NA,S. R.,S. R.,NA,22.22,SP
CS public du Grand Nord de l'Ontario,912573,École secondaire Château-Jeunesse,French,167 Centennial,Longlac,P0T2A0,23,49.77619,-86.52674,69.6,NA,SP,NA,S. R.,NA,0.1,S. R.,NA,SP,SP
CS public du Grand Nord de l'Ontario,924792,École secondaire Cité-Supérieure,French,14 Hemlo,Marathon,P0T2E0,18,48.71794,-86.37198,SP,NA,SP,NA,S. R.,NA,S. R.,S. R.,NA,SP,SP
CS public du Grand Nord de l'Ontario,911100,École secondaire de la Rivière-des-Français,French,11 Lahaie,Noëlville,P0M2N0,52,46.13144,-80.4334,98.1,NA,34.6,NA,S. R.,NA,S. R.,0.82,37,SP,SP
CS public du Grand Nord de l'Ontario,907448,École secondaire Hanmer,French,4800 Notre Dame,Hanmer,P3P1X5,74,46.65914,-80.94349,91.9,NA,40.5,NA,0.58,49,S. R.,0.8,30,SP,SP
CS public du Grand Nord de l'Ontario,890817,École secondaire l'Orée des Bois,French,159 Avenue du Parc,Dubreuilville,P0S1B0,33,48.348623,-84.547652,97,NA,33.3,NA,S. R.,NA,S. R.,S. R.,NA,SP,SP
CS public du Grand Nord de l'Ontario,907570,École secondaire Macdonald-Cartier,French,37 Lasalle ouest,Sudbury,P3A1W1,312,46.5216,-80.98835,74.7,NA,33,NA,0.67,-5,0.29,0.85,6,19.22,4.94
CS public du Grand Nord de l'Ontario,965570,École secondaire Villa Française des Jeunes,French,11 Edinburgh,Elliot Lake,P5A2M3,21,46.38058,-82.66036,66.7,NA,SP,NA,S. R.,NA,S. R.,S. R.,NA,SP,SP
CS Viamonde,918997,Collège français secondaire,French,100 Carlton,Toronto,M5B1M3,181,43.66256,-79.37728,68.5,8.3,8.3,NA,0.87,42,S. R.,0.97,12,32.04,12.21
CS Viamonde,907553,École secondaire Confédération,French,670 Tanguay,Welland,L3B4G2,64,42.98923,-79.22445,48.4,SP,18.8,NA,1,NA,S. R.,1,NA,25.81,SP
CS Viamonde,961008,École secondaire de Lamothe-Cadillac,French,1775 TOTTEN,WINDSOR,N9B1X4,101,42.289211,-83.046854,81.2,13.9,SP,NA,0.91,20,S. R.,1,NA,38.86,SP
CS Viamonde,907588,École secondaire Étienne-Brûlé,French,300 Banbury,North York,M2L2V3,315,43.75241,-79.3711,74.6,10.2,8.9,SP,0.71,-24,0.38,0.87,-3,30.16,13.52
CS Viamonde,909858,École secondaire Franco-Jeunesse,French,901 promenade Rapids,Sarnia,N7S6K2,24,42.99473,-82.35106,SP,SP,SP,NA,S. R.,NA,S. R.,S. R.,NA,SP,SP
CS Viamonde,910554,École secondaire Gabriel-Dumont,French,2463 boulevard Evans,London,N6M0B1,88,43.01557,-81.23243,50,SP,11.4,SP,0.66,-2,S. R.,1,0,17.05,11.5
CS Viamonde,914723,École secondaire Gaétan Gervais,French,150 RIDGE,OAKVILLE,L6H1H9,63,43.4605693,-79.69349293,82.5,SP,SP,NA,0.94,18,S. R.,0.93,-7,25.45,21.42
CS Viamonde,907308,École secondaire Georges-P-Vanier,French,100 Macklin N,Hamilton,L8S3S1,112,43.26601,-79.89447,60.7,SP,18.8,NA,0.84,-11,S. R.,0.79,-11,22.4,SP
CS Viamonde,907642,École secondaire Jeunes sans frontières,French,7585 Financial,Brampton,L6Y5P4,310,43.62401,-79.75875,74.5,9.7,10.3,NA,0.86,-4,0.68,0.97,4,22.1,21.12
CS Viamonde,934852,École secondaire Le Caron,French,22 John,Penetanguishene,L9M1N8,138,44.76085,-79.94003,41.3,SP,20.3,SP,0.67,-21,S. R.,0.89,18,18.15,SP
CS Viamonde,896889,École secondaire Norval-Morrisseau,French,51 Wright,Richmond Hill,L4C4A1,65,43.87773,-79.4413,66.2,SP,SP,SP,0.77,-23,A/D,1,NA,18.99,33.28
CS Viamonde,925326,École secondaire Roméo Dallaire,French,736 Essa,Barrie,L4N9E9,157,44.32609,-79.71578,64.3,SP,18.5,NA,0.83,14,S. R.,1,11,15.29,7.58
CS Viamonde,901037,École secondaire Ronald-Marion,French,2235 Brock,Pickering,L1V2P8,90,43.86065,-79.07891,74.4,SP,SP,NA,0.91,36,0.45,0.92,16,21.9,14.22
CS Viamonde,952803,École secondaire Toronto Ouest,French,330 Lansdowne,Toronto,M6H3Y1,133,43.65334418,-79.44095877,69.9,SP,12,NA,0.85,-15,S. R.,0.87,-5,22.58,11.34
CSD du Nord-Est de l'Ontario,902306,École secondaire Cochrane,French,310 Algonquin,North Bay,P1B9T5,122,48.47535109,-81.33750281,84.4,NA,23,NA,S. R.,NA,S. R.,S. R.,NA,24.17,SP
CSD du Nord-Est de l'Ontario,918296,École secondaire l'Alliance,French,44 Anson,Iroquois Falls,P0K1E0,52,48.7689,-80.682,86.5,NA,NA,NA,0.55,5,A/D,0.85,NA,19.42,SP
CSD du Nord-Est de l'Ontario,946117,École secondaire Northern,French,175 Ethel,Sturgeon Falls,P2B2Z8,94,46.37393,-79.92028,80.9,NA,53.2,NA,S. R.,NA,S. R.,0.64,-5,21.46,SP
CSD du Nord-Est de l'Ontario,966753,École secondaire Passeport Jeunesse,French,75 e,Hearst,P0L1N0,NA,49.6839,-83.6658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSD du Nord-Est de l'Ontario,919055,École secondaire publique Echo du Nord,French,2 Montgomery,Kapuskasing,P5N0A4,51,49.42065,-82.43453,92.2,NA,33.3,NA,S. R.,NA,S. R.,0.85,21,SP,SP
CSD du Nord-Est de l'Ontario,909335,École secondaire publique Odyssée,French,480 Norman,North Bay,P1B0A8,92,46.32885,-79.43518,56.5,NA,27.2,NA,S. R.,NA,S. R.,0.74,-15,21.63,SP
CSD du Nord-Est de l'Ontario,922870,École secondaire Renaissance,French,301 Shirley N,Timmins,P4R1N5,76,48.4776,-81.3788,80.3,NA,38.2,NA,0.62,-5,0.27,0.82,12,20.57,SP
CSDC de l'Est ontarien,705446,Centre d'éduc./form. de l'Est ontarien,French,750 Principale,Casselman,K0A1M0,133,45.31456,-75.08801,97.7,NA,19.5,NA,NA,NA,NA,NA,NA,21.46,SP
CSDC de l'Est ontarien,695050,École secondaire catholique de Casselman,French,778 Brébeuf,Casselman,K0A1M0,551,45.31603,-75.08787,98.4,NA,29.2,2.9,0.82,-8,0.34,0.9,2,11.99,7.27
CSDC de l'Est ontarien,752720,École secondaire catholique de Plantagenet,French,6150 de comté,Plantagenet,K0B1L0,257,45.54564,-74.99703,97.7,NA,23.7,SP,0.79,-14,0.5,1,0,15.95,SP
CSDC de l'Est ontarien,704920,École secondaire catholique Embrun,French,1276 St Jacques,Embrun,K0A1W0,438,45.2718,-75.27467,96.8,NA,19.2,SP,0.9,28,0.48,0.97,8,8.37,14.96
CSDC de l'Est ontarien,725684,École secondaire catholique La Citadelle,French,510 McConnell,Cornwall,K6H4M1,418,45.02339,-74.71319,85.2,NA,29.2,SP,0.9,1,0.34,0.93,12,19.49,3.55
CSDC de l'Est ontarien,752908,École secondaire catholique Le Relais,French,100 McNabb,Alexandria,K0C1A0,187,45.3161,-74.6348,96.3,NA,31,SP,0.84,11,0.08,0.92,18,17.07,SP
CSDC de l'Est ontarien,728330,École secondaire catholique L'Escale,French,1535 du Parc,Rockland,K4K1K6,563,45.54985,-75.2865,98.8,SP,22.2,SP,0.93,17,0.47,0.95,8,12.07,10.79
CSDC de l'Est ontarien,713740,École secondaire catholique régionale de Hawkesbury,French,572 Kitchener,Hawkesbury,K6A2P3,383,45.60621,-74.62522,98.4,NA,29,SP,0.62,-12,0.17,0.91,-3,21.58,4.77
CSDC des Aurores boréales,701718,École secondaire catholique de La Vérendrye,French,175 High Nord,Thunder Bay,P7A8C7,126,48.44435,-89.22939,52.4,SP,17.5,NA,0.78,16,S. R.,0.93,7,16.68,SP
CSDC des Grandes Rivières,865638,CEA Kapuskasing,French,73 Queen,Kapuskasing,P5N1H5,41,49.41984,-82.42795,90.2,NA,NA,NA,NA,NA,NA,A/D,NA,SP,SP
